,Unnamed: 0,leftCodoAng,rightCodoAng,lefthombroAng,righthombroAng,leftRodillaAng,rightRodillaAng,trunkAng,neckAng,x,y,z,r,elev,az
680,1,0.5294117647058824,0.4509803921568628,0.3725490196078432,0.2352941176470588,0.6470588235294118,0.4509803921568628,0.7058823529411765,0.29411764705882354,0.8,1.1,2.6,2.934280150224242,62.38442786397848,53.9726266148964
681,1,0.5294117647058824,0.4117647058823529,0.3725490196078432,0.27450980392156865,0.3333333333333333,0.5490196078431373,0.7254901960784313,0.6862745098039216,0.8,1.3,3.6,3.9102429592034307,67.02260017148596,58.3924977537511
682,1,0.5294117647058824,0.4117647058823529,0.35294117647058826,0.8431372549019607,0.35294117647058826,0.5294117647058824,0.7254901960784313,0.27450980392156865,0.8,1.3,4.2,4.468780594300866,70.02700263731914,58.3924977537511
683,1,0.5294117647058824,0.5294117647058824,0.27450980392156865,0.3333333333333333,0.6274509803921569,0.4313725490196079,0.7843137254901961,0.35294117647058826,0.8,1.4,-2.0,2.569046515733026,-51.12334486365568,60.25511870305777
684,1,0.6078431372549019,0.4117647058823529,0.4901960784313725,0.4313725490196079,0.4313725490196079,0.392156862745098,0.6470588235294118,0.4901960784313725,0.8,1.4,-4.1,4.405678154382137,-68.53123511827916,60.25511870305777
685,1,0.4901960784313725,0.5294117647058824,0.3725490196078432,0.2549019607843137,0.3725490196078432,0.17647058823529413,0.7647058823529412,0.3137254901960784,0.8,1.5,-1.7,2.4041630560342613,-45.0,61.92751306414704
686,1,1.0,0.27450980392156865,0.27450980392156865,0.29411764705882354,0.13725490196078433,0.13725490196078433,0.35294117647058826,0.5294117647058824,0.8,1.7,1.2,2.2293496809607953,32.56619008330985,64.79887635452492
687,1,0.3157894736842105,0.6052631578947368,0.5,0.631578947368421,0.07894736842105263,0.2368421052631579,0.15789473684210525,0.34210526315789475,0.8,1.7,4.6,4.968903299521937,67.7828734622935,64.79887635452492
688,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.8,1.9,1.6,2.6095976701399777,37.815539416196906,67.16634582208245
689,1,0.5098039215686274,0.5490196078431373,0.3725490196078432,0.3725490196078432,0.0392156862745098,0.17647058823529413,0.7450980392156863,0.29411764705882354,0.8,2.0,-2.0,2.939387691339814,-42.87598866663572,68.19859051364818
690,1,0.9607843137254902,0.392156862745098,0.35294117647058826,0.4901960784313725,0.4313725490196079,0.21568627450980396,0.35294117647058826,0.21568627450980396,0.8,2.0,2.0,2.939387691339814,42.87598866663572,68.19859051364818
691,1,0.4509803921568628,0.9607843137254902,0.3725490196078432,0.2549019607843137,0.0392156862745098,0.17647058823529413,0.4705882352941176,0.19607843137254904,0.8,2.1,-1.3,2.5961509971494343,-30.049055498702295,69.14554196042165
692,1,0.6,0.95,0.4000000000000001,0.15,0.125,0.375,0.225,0.20000000000000004,0.8,2.3,0.4,2.467792535850613,9.328122469211555,70.82099197418928
693,1,0.5869565217391305,0.8913043478260869,0.2826086956521739,0.7608695652173914,0.06521739130434782,0.32608695652173914,0.3043478260869565,0.13043478260869565,0.8,2.7,0.8,2.9274562336608896,15.859229514720955,73.49563861824498
694,1,0.6585365853658537,0.5609756097560976,0.5121951219512195,0.17073170731707318,0.0,0.1951219512195122,0.3902439024390244,0.17073170731707318,0.8,2.9,0.0,3.0083217912982647,0.0,74.57783868126133
695,1,0.5098039215686274,0.9411764705882352,0.2549019607843137,0.6862745098039216,0.0,0.17647058823529413,0.6862745098039216,0.19607843137254904,0.8,3.1,-1.9,3.722902093797257,-30.687448617179026,75.52970589993411
696,1,0.875,0.5208333333333334,0.5833333333333334,0.5,0.02083333333333333,0.1875,0.4583333333333333,0.125,0.8,3.6,-0.9,3.7960505792204615,-13.714765711639625,77.47119229084849
